,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,AttendanceID,StandingsID,gameID,total,home,away,weekly_attendance,year,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,sb_winner
18,Washington Redskins,Dallas Cowboys,Dallas Cowboys,0,Mon,September 18,9:01PM,27,21,332,2,331,2,Redskins,Washington,Cowboys,Dallas,Redskins20003,Redskins2000,20003Washington Redskins,1174332.0,647424.0,526908.0,84431.0,2000,8,8,281,269,12,0.8,0.2,1.0,-2.9,3.8,No Playoffs,No Superbowl
19,Washington Redskins,Tampa Bay Buccaneers,Washington Redskins,0,Sun,October 1,4:15PM,20,17,330,1,255,2,Redskins,Washington,Buccaneers,Tampa Bay,Redskins20005,Redskins2000,20005Washington Redskins,1174332.0,647424.0,526908.0,83532.0,2000,8,8,281,269,12,0.8,0.2,1.0,-2.9,3.8,No Playoffs,No Superbowl
20,Washington Redskins,Baltimore Ravens,Washington Redskins,0,Sun,October 15,1:01PM,10,3,246,2,199,1,Redskins,Washington,Ravens,Baltimore,Redskins20007,Redskins2000,20007Washington Redskins,1174332.0,647424.0,526908.0,83252.0,2000,8,8,281,269,12,0.8,0.2,1.0,-2.9,3.8,No Playoffs,No Superbowl
21,Washington Redskins,Tennessee Titans,Tennessee Titans,0,Mon,October 30,9:01PM,27,21,189,0,266,3,Redskins,Washington,Titans,Tennessee,Redskins20009,Redskins2000,20009Washington Redskins,1174332.0,647424.0,526908.0,83472.0,2000,8,8,281,269,12,0.8,0.2,1.0,-2.9,3.8,No Playoffs,No Superbowl
22,Washington Redskins,Philadelphia Eagles,Philadelphia Eagles,0,Sun,November 26,1:01PM,23,20,289,2,326,2,Redskins,Washington,Eagles,Philadelphia,Redskins200013,Redskins2000,200013Washington Redskins,1174332.0,647424.0,526908.0,83284.0,2000,8,8,281,269,12,0.8,0.2,1.0,-2.9,3.8,No Playoffs,No Superbowl
23,Washington Redskins,New York Giants,New York Giants,0,Sun,December 3,1:01PM,9,7,305,3,290,2,Redskins,Washington,Giants,New York,Redskins200014,Redskins2000,200014Washington Redskins,1174332.0,647424.0,526908.0,83485.0,2000,8,8,281,269,12,0.8,0.2,1.0,-2.9,3.8,No Playoffs,No Superbowl
24,Washington Redskins,Arizona Cardinals,Washington Redskins,0,Sun,December 24,1:01PM,20,3,315,2,245,5,Redskins,Washington,Cardinals,Arizona,Redskins200017,Redskins2000,200017Washington Redskins,1174332.0,647424.0,526908.0,65711.0,2000,8,8,281,269,12,0.8,0.2,1.0,-2.9,3.8,No Playoffs,No Superbowl
25,Atlanta Falcons,San Francisco 49ers,Atlanta Falcons,0,Sun,September 3,1:02PM,36,28,359,1,339,1,Falcons,Atlanta,49ers,San Francisco,Falcons20001,Falcons2000,20001Atlanta Falcons,964579.0,422814.0,541765.0,54626.0,2000,4,12,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,No Playoffs,No Superbowl
26,Atlanta Falcons,St. Louis Rams,St. Louis Rams,0,Sun,September 24,1:02PM,41,20,395,2,286,4,Falcons,Atlanta,Rams,St. Louis,Falcons20004,Falcons2000,20004Atlanta Falcons,964579.0,422814.0,541765.0,58761.0,2000,4,12,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,No Playoffs,No Superbowl
27,Atlanta Falcons,New York Giants,New York Giants,0,Sun,October 8,4:05PM,13,6,255,2,238,3,Falcons,Atlanta,Giants,New York,Falcons20006,Falcons2000,20006Atlanta Falcons,964579.0,422814.0,541765.0,50947.0,2000,4,12,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,No Playoffs,No Superbowl
28,Atlanta Falcons,New Orleans Saints,New Orleans Saints,0,Sun,October 22,1:05PM,21,19,402,1,278,0,Falcons,Atlanta,Saints,New Orleans,Falcons20008,Falcons2000,20008Atlanta Falcons,964579.0,422814.0,541765.0,56508.0,2000,4,12,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,No Playoffs,No Superbowl
